E2 :  11/03/2011 09:30:23, unknown         , 192.168.30.233                , Could not select log databaseUnknown database 'log_db' 
E2 :  11/03/2011 09:30:23, unknown         , 192.168.30.233                , Could not select log databaseUnknown database 'log_db' 
E2 :  15/03/2011 15:56:10, unknown         , localhost                     , Could not select log databaseUnknown database 'log_db' 
E2 :  15/03/2011 15:56:10, unknown         , localhost                     , Could not select log databaseUnknown database 'log_db' 
E2 :  15/03/2011 16:30:56, unknown         , localhost                     , Could not select log databaseUnknown database 'log_db' 
E2 :  15/03/2011 16:30:56, unknown         , localhost                     , Could not select log databaseUnknown database 'log_db' 
E2 :  15/03/2011 16:38:45, unknown         , localhost                     , Could not select log databaseUnknown database 'log_db' 
E2 :  15/03/2011 16:38:45, unknown         , localhost                     , Could not select log databaseUnknown database 'log_db' 
E2 :  15/03/2011 16:48:48, unknown         , localhost                     , Could not select log databaseUnknown database 'log_db' 
E2 :  23/03/2011 10:20:08, unknown         , localhost                     , Could not select log databaseUnknown database 'log_db' 
E2 :  23/03/2011 10:20:08, unknown         , localhost                     , Could not select log databaseUnknown database 'log_db' 
E2 :  23/03/2011 10:20:08, unknown         , localhost                     , Could not select log databaseUnknown database 'log_db' 
E2 :  23/03/2011 10:20:08, unknown         , localhost                     , Could not select log databaseUnknown database 'log_db' 
E2 :  23/03/2011 10:20:08, unknown         , localhost                     , Could not select log databaseUnknown database 'log_db' 
E2 :  23/03/2011 10:20:08, unknown         , localhost                     , Could not select log databaseUnknown database 'log_db' 
E2 :  23/03/2011 10:20:08, unknown         , localhost                     , Could not select log databaseUnknown database 'log_db' 
E2 :  23/03/2011 10:20:08, unknown         , localhost                     , Could not select log databaseUnknown database 'log_db' 
E2 :  23/03/2011 10:20:08, unknown         , localhost                     , Could not select log databaseUnknown database 'log_db' 
E2 :  23/03/2011 10:20:08, unknown         , localhost                     , Could not select log databaseUnknown database 'log_db' 
E2 :  23/03/2011 11:27:02, unknown         , localhost                     , Could not select log databaseUnknown database 'log_db' 
E2 :  23/03/2011 11:27:02, unknown         , localhost                     , Could not select log databaseUnknown database 'log_db' 
E2 :  23/03/2011 11:27:02, unknown         , localhost                     , Could not select log databaseUnknown database 'log_db' 
E2 :  23/03/2011 11:27:02, unknown         , localhost                     , Could not select log databaseUnknown database 'log_db' 
E2 :  23/03/2011 11:27:02, unknown         , localhost                     , Could not select log databaseUnknown database 'log_db' 
E2 :  23/03/2011 11:27:02, unknown         , localhost                     , Could not select log databaseUnknown database 'log_db' 
E2 :  23/03/2011 11:27:02, unknown         , localhost                     , Could not select log databaseUnknown database 'log_db' 
